Japanese,English
未来,future
正直,Honesty
年間,Year
無駄,waste
現れ,Appearance
島,island
病気,disease
内,Inside
風,Wind
結構,fine
治療,Treatment
予定,schedule
点,point
1人,1 person
許可,permission
勇気,courage
最悪,worst
本気,Seriousness
全然,not at all
任務,mission
日本,Japan
作戦,Strategy
成功,success
進,Proceeding
近づ,Close
品,Item
消,Extinguishing
小さな,small
科学,Science
放,Relief
向こう,Across
事実,fact
食,Food
関,Relation
戦い,Fight
少年,boy
爆発,explosion
現実,reality
保護,protection
地下,underground
隊,Squad
地,Land
別れ,farewell
時代,Era
使え,Useful
組織,Organization
式,formula
落ち着け,Calmness
動物,animal
無し,none
下が,Below
技術,Technology
個人,Individual
期待,Expectation
調子,condition
線,line
局,Bureau
利用,use
主人,master
館,Mansion
毎日,every day
付,Attached
当然,Of course
患者,patient
全,all
今朝,this morning
過ご,Passing
馬,Horse
あー,ah
あたし,I
立て,stand up
地獄,hell
合,Agency
続,Continuation
陛下,His Majesty
小さ,small
火,fire
平気,Calm
世話,care
能力,ability
理子,Riko
検査,inspection
アレックス,Alex
木,wood
号,issue
山,Mountain
解,Solution
警部,Police officer
食事,meal
幸運,Good luck
構,Lingering
侵入,Invasion
駄目,Useless
緊急,emergency
親父,father
気付,care
主,main
速,Speed
代わり,Substitute
休,Rest
原因,Cause
警告,caveat
山里,Mountain village
特に,especially
部下,subordinate
運命,destiny
